name,eirp
Ku-band East beam,0
Ku-band MENA beam,0
Ku-band East beam,0
Ku-band East beam,0
Ku-band East beam,0
Ku-band East beam,0
Ku-band East beam,0
Ku-band East beam,0
Ku-band MENA beam,0
Ku-band East beam,0
Ku-band East beam,0
Ka-band MENA beam,0
Ku-band East beam,0
Ku-band East beam,0
Ka-band MENA beam,0
Ka-band MENA beam,0
Ka-band MENA beam,0
Ka-band MENA beam,0
Ka-band MENA beam,0
C-band Medium Power Beam (TP 1-20),35
Ku-Band MENA FSS Beam,0
Ku-band FSS North West Africa beam,0
Ku-band FSS North West Africa beam,0
Ku-band FSS North West Africa beam,0
Ku-band FSS North West Africa beam,0
Ku-band Apx-30B MENA beam,0
Ku-band Apx-30B MENA beam,0
Ku-band FSS South Africa beam,0
Ku-band Apx-30B East MENA beam,0
Ku-band Apx-30B MENA beam,0
Ku-band Central Asia Beam,0
Ku-band Central Asia Beam,0
Ku-band Central Asia Beam,0
Ku-band Central Asia Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band BSS Beam,0
Ku-Band MENA FSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band Apx-30B MENA beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band Steerable (MAGHREB) BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band Central Asia Beam,0
Ku-band Steerable (MAGHREB) BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band Central Asia Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band Central Asia Beam,0
Ku-band BSS Beam,0
C-band Medium Power Beam (TP 1-20),35
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band BSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band FSS Beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band Europe beam,46
Ku-band UK Spot beam,0
Ku-band UK Spot beam,0
Ku-band Europe beam,46
Ku-band West Africa beam,0
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
Ku-band Europe beam,46
